hex,type,r,t,dbFlags,desc,alt_baro,alt_geom,gs,track,squawk,lat,lon,nic,rc,seen_pos,nac_p,nac_v,sil,sil_type,alert,spi,mlat,tisb,messages,seen,rssi
ae1453,tisb_icao,05-5149,C17,1,Boeing C-17A Globemaster III,ground,1100,1.9,90.0,2470,21.30682,-157.945137,8,186,2.668,8,0,2,perhour,0,0,[],"['gs', 'track', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",780621,1.0,-3.3
a57edf,adsb_icao,N453SP,C172,1,CESSNA 172 Skyhawk,825,1000,68.4,354.12,1200,61.381119,-150.032534,10,25,0.147,10,1,3,perhour,0,0,[],['baro_rate'],6474531,0.1,-6.8
7cf9c4,adsb_icao,A41-212,C17,1,Boeing C-17A Globemaster III,34000,35575,441.5,263.89,7262,33.327255,-121.954889,10,25,0.374,10,2,3,perhour,0,0,[],[],11415963,0.1,-23.3
aa7e20,tisb_icao,N7751L,C172,1,CESSNA 172 Skyhawk,725,850,66.3,168.69,0,39.123596,-121.584678,0,0,0.355,0,0,0,perhour,0,0,[],"['callsign', 'altitude', 'gs', 'track', 'geom_rate', 'lat', 'lon', 'nic', 'rc', 'nac_v']",5247074,0.4,-15.3
ae4ae5,adsb_icao,2713,C27J,1,Alenia HC-27J Spartan,3450,3425,182.1,178.43,0,32.183258,-118.148456,8,186,3.389,10,1,3,perhour,0,0,[],[],24230843,0.5,-32.1
ac96df,adsb_icao,N910CB,B350,1,BEECHCRAFT Super King Air 350,15450,16150,269.2,144.07,4646,36.933334,-115.522234,8,186,15.882,10,1,3,perhour,0,0,[],[],8356144,1.0,-25.5
ae5e05,mlat,17-46024,B762,1,Boeing KC-46A Pegasus,12750,0,0,0,1631,36.202738,-114.574555,0,0,44.047,0,0,0,0,0,0,"['baro_rate', 'lat', 'lon', 'nic', 'rc']",[],8638579,0.7,-12.1
ae01c0,adsb_icao,165094,GLF4,1,Gulfstream C-20G,28000,29225,392.6,263.42,1533,35.497571,-113.753026,8,186,0.652,10,1,3,perhour,0,0,[],[],5547756,0.0,-22.4
c2c363,adsb_icao,330002,A332,1,AIRBUS A-330-200,41000,42650,533.4,61.56,1027,35.443757,-112.369333,8,186,0.385,9,1,3,perhour,0,0,[],[],25409551,0.3,-15.8
ae07ff,adsb_icao,98-0053,C17,1,Boeing C-17A Globemaster III,33000,34475,483.8,71.19,2063,36.957775,-111.639185,8,186,0.214,10,2,3,perhour,0,0,[],[],7238241,0.0,-12.8
c2b003,adsb_icao,156106,TEX2,1,Raytheon CT-156 Harvard II,24925,25400,362.4,95.07,1341,50.971069,-109.487991,8,186,0.294,10,2,3,perhour,0,0,[],[],6988122,0.3,-30.5
ae0e25,adsb_icao,88-26028,H60,1,SIKORSKY UH-60 Black Hawk,8300,8600,137.4,291.34,4363,32.134311,-107.300888,9,75,0.589,9,4,3,perhour,0,0,[],[],300045,0.6,-25.8
ae54cd,adsb_icao,12-5760,C30J,1,Lockheed Martin MC-130J Commando II,7325,7550,208.5,294.97,0404,34.985825,-106.95409,10,25,0.631,10,2,3,perhour,0,0,[],[],5709455,0.3,-12.7
aab595,adsr_icao,N7899N,C172,1,CESSNA 172 Skyhawk,ground,0,0.0,0,0632,38.824287,-104.712604,0,0,0.28,0,0,0,perhour,0,0,[],[],5531163,0.3,-15.4
ae20ba,adsb_icao,167985,C30J,1,Lockheed Martin KC-130J Hercules,21150,22225,229.9,226.23,3245,38.336559,-104.538733,10,25,0.257,10,1,3,perhour,0,0,[],[],9784987,0.0,-17.0
aaad78,adsb_icao,N7874N,C172,1,CESSNA 172 Skyhawk,10300,10675,98.2,273.5,4624,38.984147,-104.414795,9,75,0.28,10,2,3,perhour,0,0,[],['baro_rate'],26151655,0.3,-10.9
adfd75,adsb_icao,91-00505,SW4,1,Fairchild C-26E Metro III,20000,21175,255.2,272.25,0,31.887772,-103.610632,8,186,1.977,10,1,3,perhour,0,0,[],[],4668372,1.1,-22.5
ae49c8,mlat,09-9212,C17,1,Boeing C-17A Globemaster III,35000,0,438.0,80.0,2473,40.222715,-103.127738,0,0,23.221,0,0,0,0,0,0,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",[],8888916,0.6,-19.8
ae4afe,adsb_icao,08-5693,C30J,1,Lockheed Martin C-130J-30 Hercules,20000,20975,326.1,340.84,2410,30.956214,-99.255707,10,25,0.008,10,2,3,perhour,0,0,[],[],2205421,0.0,-19.9
ae4af3,adsb_icao,08-3178,C30J,1,Lockheed Martin C-130J-30 Hercules,16025,16775,311.5,341.27,2756,30.362207,-99.033014,10,25,0.0,10,2,3,perhour,0,0,[],[],2246877,0.0,-19.6
ae1e85,adsb_icao,166039,TEX2,1,Raytheon T-6B Texan II,24025,25475,218.9,327.69,4067,28.780472,-98.285699,8,186,0.139,10,2,3,perhour,0,0,[],[],2854549,0.1,-21.5
ae628c,adsb_icao,163655,HAWK,1,0,14525,15250,301.2,158.38,5162,27.929672,-98.240834,0,371,0.042,8,2,3,perhour,0,0,[],[],1161368,0.0,-22.0
ae6281,adsb_icao,163643,HAWK,1,0,0,0,262.4,232.43,5162,27.923813,-98.228915,0,0,27.836,0,0,3,perhour,0,0,[],[],734408,0.3,-17.1
ae01e5,adsb_icao,96-3013,TEX2,1,Raytheon T-6A Texan II,13525,14125,262.5,242.56,1200,36.911409,-97.46318,10,25,0.507,10,2,3,perhour,0,0,[],[],4987009,0.1,-19.1
ae141a,adsb_icao,05-3803,TEX2,1,Raytheon T-6A Texan II,6400,6600,245.8,232.1,1200,36.656768,-97.259216,10,25,0.507,10,2,3,perhour,0,0,[],[],3053424,0.5,-26.9
af8b3a,mlat,0,E6,1,0,31000,0,430.0,12.0,6235,38.585385,-96.640838,0,0,4.279,0,0,0,0,0,0,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",[],21282,0.7,-14.1
ae13b0,adsb_icao,04-3730,TEX2,1,Raytheon T-6A Texan II,6550,6750,220.4,263.49,1200,36.936722,-96.395504,10,25,36.606,10,2,3,perhour,0,0,[],[],1309865,36.6,-27.1
0d0b28,adsb_icao,ANX-1260,C208,1,CESSNA 208 Caravan,5750,6050,179.7,56.58,6510,18.588272,-96.355346,9,75,0.314,10,2,3,perhour,0,0,[],[],482437,0.3,-29.7
ae4a09,adsb_icao,166128,TEX2,1,Raytheon T-6B Texan II,19025,20050,310.4,92.77,4537,30.278413,-95.839124,8,186,0.408,10,2,3,perhour,0,0,[],[],3760648,0.0,-18.9
adfe7c,adsb_icao,92-3283,C130,1,Lockheed C-130H Hercules,24000,24825,271.3,325.67,2570,42.684771,-92.514464,8,186,0.187,10,1,3,perhour,0,0,[],[],6221593,0.2,-5.3
